comment,segmented_text
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感,好吃 的 本 幫菜   勝過 很多 新開 的 上海 餐館 就是 餐廳 裝潢 有點 廉價感
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5,經典 上海 菜 ， 台北 已經 很 稀有 了 。   菜色 經典 之外 ， 服務 也 是 經典 。 茶水 、 客 製 化 點 餐 、 餐 後 水果 … … ， 真的 令人 回味 無窮 。 大 推 醃篤鮮 湯品 ， 讓 奶奶 的 拿手 美味 經典 重現 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
