comment,segmented_text,numeric_column
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感,好吃 的 本 幫菜   勝過 很多 新開 的 上海 餐館 就是 餐廳 裝潢 有點 廉價感,"[15, 1, 6, 1, 16, 1, 17, 1, 1, 1, 18, 1, 19, 1, 20, 1, 6, 1, 9, 1, 21, 1, 22, 1, 23, 1, 24, 1, 25, 1, 26]"
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5,經典 上海 菜 ， 台北 已經 很 稀有 了 。   菜色 經典 之外 ， 服務 也 是 經典 。 茶水 、 客 製 化 點 餐 、 餐 後 水果 … … ， 真的 令人 回味 無窮 。 大 推 醃篤鮮 湯品 ， 讓 奶奶 的 拿手 美味 經典 重現 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5,"[3, 1, 9, 1, 27, 1, 4, 1, 28, 1, 29, 1, 30, 1, 31, 1, 32, 1, 5, 1, 1, 1, 33, 1, 3, 1, 34, 1, 4, 1, 10, 1, 35, 1, 36, 1, 3, 1, 5, 1, 37, 1, 11, 1, 38, 1, 39, 1, 40, 1, 41, 1, 12, 1, 11, 1, 12, 1, 42, 1, 43, 1, 13, 1, 13, 1, 4, 1, 44, 1, 45, 1, 46, 1, 47, 1, 5, 1, 48, 1, 49, 1, 50, 1, 51, 1, 4, 1, 52, 1, 53, 1, 6, 1, 54, 1, 55, 1, 3, 1, 56, 1, 5, 1, 1, 1, 57, 1, 7, 1, 2, 1, 8, 1, 2, 1, 1, 1, 1, 1, 14, 1, 1, 1, 1, 1, 10, 1, 7, 1, 2, 1, 8, 1, 2, 1, 1, 1, 1, 1, 14, 1, 1, 1, 1, 1, 58, 1, 7, 1, 59, 1, 8, 1, 2]"
